Date,open,high,low,close,adjusted_close,volume
2016-02-22 00:00:00-05:00,193.8699951171875,194.9499969482422,193.7899932861328,194.77999877929688,165.08349609375,103640300
2016-02-23 00:00:00-05:00,194.0,194.32000732421875,192.17999267578125,192.32000732421875,162.99859619140625,111455300
2016-02-24 00:00:00-05:00,190.6300048828125,193.52999877929688,189.32000732421875,193.1999969482422,163.7444305419922,150812200
2016-02-25 00:00:00-05:00,193.72999572753906,195.5500030517578,192.8300018310547,195.5399932861328,165.72767639160156,110728300
2016-02-26 00:00:00-05:00,196.57000732421875,196.67999267578125,194.89999389648438,195.08999633789062,165.34625244140625,129833700
2016-02-29 00:00:00-05:00,195.11000061035156,196.22999572753906,193.3300018310547,193.55999755859375,164.04954528808594,125918100
2016-03-01 00:00:00-05:00,195.00999450683594,198.2100067138672,194.4499969482422,198.11000061035156,167.9058380126953,141799700
2016-03-02 00:00:00-05:00,197.74000549316406,199.05999755859375,197.25,199.0,168.66015625,102415000
2016-03-03 00:00:00-05:00,198.7899932861328,199.8000030517578,198.11000061035156,199.77999877929688,169.32127380371094,95172200
2016-03-04 00:00:00-05:00,200.00999450683594,201.35000610351562,199.02999877929688,200.42999267578125,169.8721160888672,129293600
2016-03-07 00:00:00-05:00,199.33999633789062,201.07000732421875,199.25,200.58999633789062,170.00775146484375,100219000
2016-03-08 00:00:00-05:00,199.32000732421875,199.9199981689453,198.2100067138672,198.39999389648438,168.151611328125,123974900
2016-03-09 00:00:00-05:00,199.36000061035156,199.7899932861328,198.42999267578125,199.3800048828125,168.98223876953125,94801200
2016-03-10 00:00:00-05:00,199.9600067138672,201.07000732421875,197.3800048828125,199.5399932861328,169.11781311035156,156838700
2016-03-11 00:00:00-05:00,201.25999450683594,202.80999755859375,199.52000427246094,202.75999450683594,171.8468780517578,137964500
2016-03-14 00:00:00-04:00,202.16000366210938,203.0399932861328,201.77000427246094,202.5,171.62652587890625,73612000
2016-03-15 00:00:00-04:00,201.36000061035156,202.52999877929688,201.0500030517578,202.1699981689453,171.34686279296875,93169100
2016-03-16 00:00:00-04:00,201.60000610351562,203.82000732421875,201.5500030517578,203.33999633789062,172.3384552001953,129303200
2016-03-17 00:00:00-04:00,203.24000549316406,205.22999572753906,202.77000427246094,204.6300048828125,173.43177795410156,134278500
2016-03-18 00:00:00-04:00,204.1699981689453,204.77999877929688,203.8000030517578,204.3800048828125,174.11325073242188,138372400
2016-03-21 00:00:00-04:00,204.07000732421875,204.94000244140625,203.8000030517578,204.6699981689453,174.3603973388672,72926700
2016-03-22 00:00:00-04:00,203.75999450683594,205.22999572753906,203.57000732421875,204.55999755859375,174.26666259765625,97471900
2016-03-23 00:00:00-04:00,204.11000061035156,204.3300018310547,203.00999450683594,203.2100067138672,173.11656188964844,81052500
2016-03-24 00:00:00-04:00,202.0,203.16000366210938,201.74000549316406,203.1199951171875,173.03994750976562,84360900
2016-03-28 00:00:00-04:00,203.61000061035156,203.86000061035156,202.7100067138672,203.24000549316406,173.14212036132812,62408200
2016-03-29 00:00:00-04:00,202.75999450683594,205.25,202.39999389648438,205.1199951171875,174.74374389648438,92922900
2016-03-30 00:00:00-04:00,206.3000030517578,206.8699951171875,205.58999633789062,206.02000427246094,175.5104522705078,86365300
2016-03-31 00:00:00-04:00,205.91000366210938,206.41000366210938,205.3300018310547,205.52000427246094,175.08447265625,94584100
2016-04-01 00:00:00-04:00,204.35000610351562,207.13999938964844,203.97999572753906,206.9199981689453,176.27713012695312,114423500
2016-04-04 00:00:00-04:00,206.8300018310547,207.07000732421875,205.88999938964844,206.25,175.70635986328125,63497000
2016-04-05 00:00:00-04:00,204.6699981689453,206.25999450683594,203.88999938964844,204.19000244140625,173.95147705078125,99662200
2016-04-06 00:00:00-04:00,204.19000244140625,206.49000549316406,203.97999572753906,206.4199981689453,175.8511962890625,91839800
2016-04-07 00:00:00-04:00,205.13999938964844,205.55999755859375,203.08999633789062,203.9499969482422,173.7469940185547,113859000
2016-04-08 00:00:00-04:00,205.33999633789062,205.85000610351562,203.8699951171875,204.5,174.2155303955078,95040600
2016-04-11 00:00:00-04:00,205.25,206.07000732421875,203.91000366210938,204.02000427246094,173.806640625,83757500
